name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
C01	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C02	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C03	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C04	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C05	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C06	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C07	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C08	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C09	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C10	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C11	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C12	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C13	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C14	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C15	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C16	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C17	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C18	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C19	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C20	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C21	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C22	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C23	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C24	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C25	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C26	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C27	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C28	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C29	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C30	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C31	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C32	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C33	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C34	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C35	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C36	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C37	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C38	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C39	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C40	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C41	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C42	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C43	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C44	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C45	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C46	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C47	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C48	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C49	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C50	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C51	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C52	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C53	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C54	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C55	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C56	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C57	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C58	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C59	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C60	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C61	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C62	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C63	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
C64	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
MKR1+	TRIG	µV	468	0.15	MKR1-	other	2048	n/a	good	not included
D1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
D2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
D3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
D4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
D5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
D6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
D7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
D8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHL9	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
PHL10	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
PHL11	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
PHL12	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx3	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx4	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx5	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx6	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx7	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx8	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx9	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx10	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx11	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx12	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx13	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
xx14	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
ecg+	ECG	µV	468	0.15	ecg-	other	2048	n/a	good	not included
ah+	OTHER	µV	468	0.15	ah-	other	2048	n/a	bad	not recording
orb+	EOG	µV	468	0.15	orb-	other	2048	n/a	good	not included
emg+	EMG	µV	468	0.15	emg-	other	2048	n/a	good	not included
el093	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
el094	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
el095	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
el096	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x1	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x2	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x3	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x4	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x5	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x6	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x7	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x8	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x9	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x10	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x11	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x12	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x13	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x14	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x15	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x16	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x17	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x18	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x19	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x20	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x21	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x22	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x23	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x24	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x25	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x26	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x27	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x28	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x29	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x30	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x31	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
x32	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
thor+	OTHER	Adim.	468	0.15	thor-	other	2048	n/a	bad	not recording
abdo+	OTHER	Adim.	468	0.15	abdo-	other	2048	n/a	bad	not recording
xyz+	OTHER	Adim.	468	0.15	xyz-	other	2048	n/a	bad	not recording
MKR2+	TRIG	µV	468	0.15	MKR2-	other	2048	n/a	good	not included
